STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN
USC00414333,3/17/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",198,0,161,100
USC00414333,3/18/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,78
USC00414333,3/19/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,233,72
USC00414333,3/20/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,217,72
USC00414333,3/21/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,233,156
USC00414333,3/22/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,239,156
USC00414333,3/23/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,283,139
USC00414333,3/24/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,261,122
USC00414333,3/25/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,122
USC00414333,3/26/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,256,194
USC00414333,3/27/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,267,211
USC00414333,3/28/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,267,156
USC00414333,3/29/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",117,0,256,144
USC00414333,3/30/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,211,100
USC00414333,3/31/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,211,50
USC00414333,4/1/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,206,44
USC00414333,4/2/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,222,56
USC00414333,4/3/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,228,133
USC00414333,4/4/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",30,0,261,161
USC00414333,4/5/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",173,0,244,178
USC00414333,4/6/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1341,0,194,172
USC00414333,4/7/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,256,183
USC00414333,4/8/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,278,200
USC00414333,4/9/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,272,200
USC00414333,4/10/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5,0,267,194
USC00414333,4/11/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",216,0,244,194
USC00414333,4/12/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",28,0,256,222
USC00414333,4/13/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,228
USC00414333,4/14/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,228
USC00414333,4/15/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",66,0,233,128
USC00414333,4/16/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,267,172
USC00414333,4/17/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",8,0,256,211
USC00414333,4/18/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5,0,267,222
USC00414333,4/19/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,300,222
USC00414333,4/20/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",23,0,300,167
USC00414333,4/21/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,300,128
USC00414333,4/22/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,233,139
USC00414333,4/23/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",8,0,256,161
USC00414333,4/24/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,222,167
USC00414333,4/25/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,194
